City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,bouarfa,32.53,-1.95,284.38,31,1,8.33,MA,1712875557
235,iwon-up,40.3231,128.6553,285.34,64,0,1.1,KP,1712875558
236,tolanaro,-25.0319,46.9987,296.19,88,40,2.06,MG,1712875491
237,kolpny,52.2282,37.0368,286.02,72,100,3.64,RU,1712875561
238,weno,7.4515,151.8468,302.12,84,100,3.6,FM,1712875561
239,kingston,17.997,-76.7936,303.68,70,20,10.8,JM,1712875562
240,mermoz boabab,14.7065,-17.4758,295.46,88,0,3.09,SN,1712875562
241,aldinga beach,-35.2793,138.4604,288.05,65,2,1.24,AU,1712875563
242,aasiaat,68.7098,-52.8699,266.39,93,99,2.16,GL,1712875507
243,monroeville,40.4212,-79.7881,291.38,82,99,0.45,US,1712875564
244,palikir - national government center,6.9248,158.1611,300.62,83,100,1.54,FM,1712875565
245,naze,28.3667,129.4833,292.66,88,92,3.26,JP,1712875463
246,scarborough,54.2797,-0.4044,289.07,87,100,5.81,GB,1712875384
247,cidreira,-30.1811,-50.2056,293.5,82,100,8.03,BR,1712875567
248,lorengau,-2.0226,147.2712,300.53,79,100,1.41,PG,1712875567
249,gignac,43.652,3.5509,287.17,70,28,2.65,FR,1712875569
250,primorsk,46.7348,36.3443,288.1,61,0,1.81,UA,1712875569
251,colonia,50.9333,6.95,287.75,82,100,0.51,DE,1712875317
252,buriti alegre,-18.14,-49.0403,293.62,93,100,0.59,BR,1712875570
253,bardai,11.65,7.2333,301.54,10,94,4.14,NG,1712875506
254,sur,22.5667,59.5289,302.91,45,82,3.87,OM,1712875571
255,linxi,39.7,118.4333,289.61,71,6,3.08,CN,1712875572
256,muravlenko,63.7898,74.523,258.83,88,100,10.29,RU,1712875573
257,fauske,67.2588,15.3918,276.36,98,100,2.07,NO,1712875573
258,khandyga,62.6667,135.6,269.76,88,99,3.46,RU,1712875574
259,wajir,1.7471,40.0573,299.96,79,27,5.3,KE,1712875574
260,rehoboth,-23.3167,17.0833,291.9,36,16,2.49,NA,1712875575
261,lhokseumawe,5.1801,97.1507,297.85,89,21,2.38,ID,1712875575
262,nuevo ideal,24.8875,-105.0728,298.57,8,76,6.24,MX,1712875521
263,happy valley-goose bay,53.3168,-60.3315,285.32,22,75,5.66,CA,1712875511
264,usogorsk,63.4106,48.6872,277.96,100,100,6.98,RU,1712875577
265,ciudad valles,21.9833,-99.0167,305.67,21,16,6.29,MX,1712875578
266,polyarnyy,69.1989,33.4478,272.66,91,100,11.19,RU,1712875578
267,kisangani,0.5167,25.2,297.61,77,87,2.35,CD,1712875579
268,guerrero negro,27.9769,-114.0611,296.06,43,73,5.2,MX,1712875577
269,sisimiut,66.9395,-53.6735,267.88,90,96,1.36,GL,1712875454
270,san luis de la loma,17.2706,-100.8939,301.29,62,4,2.42,MX,1712875581
271,pasighat,28.0667,95.3333,293.66,54,100,2.25,IN,1712875582
272,mahina,-17.5065,-149.489,304.02,70,75,1.54,PF,1712875519
273,malango,-2.9627,119.9001,293.6,99,100,0.49,ID,1712875456
274,kapuskasing,49.4169,-82.4331,289.2,36,100,2.57,CA,1712875562
275,grand gaube,-20.0064,57.6608,300.03,91,9,0.89,MU,1712875584
276,tindouf,27.6711,-8.1474,301.4,10,0,2.06,DZ,1712875585
277,qamdo,31.1667,97.2333,270.56,59,28,1.88,CN,1712875489
278,oranjemund,-28.55,16.4333,298.4,30,1,6.55,NA,1712875527
279,tommot,58.9564,126.2925,274.09,98,100,2.19,RU,1712875586
280,karangampel,-6.4622,108.4519,300.53,81,100,3.34,ID,1712875587
281,mount pearl,47.5166,-52.7813,275.96,77,0,5.14,CA,1712875508
282,alofi,-19.0595,-169.9187,302.09,74,75,3.09,NU,1712875588
283,darwin,-12.4611,130.8418,297.14,81,75,3.6,AU,1712875510
284,ar rahad,12.7167,30.65,298.65,11,21,4.28,SD,1712875589
285,port shepstone,-30.7414,30.455,290.07,56,0,8.34,ZA,1712875590
286,bloemfontein,-29.1211,26.214,279.86,70,0,3.09,ZA,1712875516
287,anzio,41.4853,12.6179,290.22,82,100,2.77,IT,1712875591
288,belyy yar,53.6039,91.3903,271.09,86,40,2.0,RU,1712875591
289,urengoy,65.9667,78.3667,252.58,92,100,7.14,RU,1712875592
290,mount gambier,-37.8333,140.7667,286.79,62,100,1.61,AU,1712875593
291,rio grande,-32.035,-52.0986,293.21,60,100,6.62,BR,1712875356
292,novofedorivka,46.1713,32.3178,287.43,63,2,1.12,UA,1712875594
293,sao gabriel da cachoeira,-0.1303,-67.0892,299.05,89,75,1.31,BR,1712875594
294,lubang,13.8584,120.124,299.97,75,74,9.09,PH,1712875595
295,antonio enes,-16.2325,39.9086,298.98,87,81,5.68,MZ,1712875595
296,yelm,46.942,-122.606,288.03,54,100,3.6,US,1712875345
297,ola,59.5833,151.2833,269.34,81,38,0.57,RU,1712875597
298,antsohihy,-14.8796,47.9875,298.5,92,100,0.54,MG,1712875597
299,el salto,20.3333,-104.5,300.47,19,34,5.7,MX,1712875507
300,urangan,-25.3,152.9,295.48,80,7,3.58,AU,1712875598
301,galliano,29.4422,-90.2992,297.04,35,0,6.17,US,1712875576
302,lihue,21.9789,-159.3672,299.73,80,100,2.06,US,1712875473
303,ballina,-28.8667,153.5667,291.36,81,70,5.25,AU,1712875537
304,chernyshevskiy,63.0128,112.4714,247.42,97,20,1.2,RU,1712875486
305,lawas,13.764,121.0566,298.69,75,80,3.91,PH,1712875601
306,miles city,46.4083,-105.8406,287.69,24,0,0.83,US,1712875602
307,palmer,42.1584,-72.3287,288.07,82,100,3.09,US,1712875375
308,fort st. john,56.2499,-120.8529,283.09,37,100,3.09,CA,1712875570
309,ocean shores,46.9737,-124.1563,286.14,85,100,2.68,US,1712875423
310,green river,41.5286,-109.4662,290.48,25,7,3.58,US,1712875605
311,rikaze,29.25,88.8833,272.37,41,11,1.35,CN,1712875605
312,xingcheng,40.6167,120.7167,282.57,81,44,5.75,CN,1712875606
313,brady,31.1352,-99.3351,301.22,16,0,1.54,US,1712875606
314,orapa,-21.2833,25.3667,293.08,59,96,8.02,BW,1712875607
315,manay,7.215,126.5397,299.52,67,98,1.77,PH,1712875607
316,howrah,22.5892,88.3103,299.15,65,40,0.0,IN,1712875608
317,arkhangel'sk,64.5401,40.5433,278.22,66,40,7.0,RU,1712875609
318,cherdyn',60.403,56.4787,277.8,89,62,4.56,RU,1712875610
319,huicungo,-7.2833,-76.8,300.6,74,63,0.58,PE,1712875610
320,jinchang,38.4953,102.1739,284.46,38,73,1.51,CN,1712875611
321,vordingborg,55.008,11.9106,284.83,97,98,6.5,DK,1712875612
322,hasaki,35.7333,140.8333,289.42,79,100,5.65,JP,1712875612
323,newman,37.3138,-121.0208,303.31,46,20,0.89,US,1712875365
324,kuytun,54.3419,101.5036,273.4,96,100,1.23,RU,1712875613
325,colonia menno,-22.3667,-59.8167,294.36,95,100,4.93,PY,1712875614
326,magadan,59.5667,150.8,269.0,85,32,1.49,RU,1712875614
327,bishnah,32.6167,74.8667,292.79,38,30,2.45,IN,1712875615
328,smidovich,48.6,133.8167,282.8,73,100,2.09,RU,1712875616
329,sitka,57.0531,-135.33,280.09,65,20,6.69,US,1712875357
330,el bauga,18.262,33.9081,297.21,12,7,5.88,SD,1712875617
331,ghat,24.9647,10.1728,298.15,18,1,6.24,LY,1712875618
332,petrozavodsk,61.7849,34.3469,277.85,96,99,7.0,RU,1712875394
333,marang,5.2056,103.2059,302.1,82,68,0.89,MY,1712875619
334,hafar al-batin,28.4328,45.9708,295.47,33,0,5.14,SA,1712875337
335,medina,24.4686,39.6142,298.39,14,0,1.54,SA,1712875502
336,jamai,22.2,78.5833,295.65,60,99,1.52,IN,1712875621
337,bubaque,11.2833,-15.8333,297.33,71,0,9.54,GW,1712875621
338,xilin hot,43.9667,116.0333,284.51,41,100,2.36,CN,1712875622
339,lockwood,45.8191,-108.4149,291.16,31,40,2.57,US,1712875622
340,zouerate,22.7187,-12.4521,303.43,8,0,5.87,MR,1712875623
341,nykoping,58.753,17.0079,284.31,82,0,8.75,SE,1712875623
342,altay,47.8667,88.1167,275.04,98,100,1.9,CN,1712875624
343,carnarvon,-24.8667,113.6333,294.42,65,72,8.99,AU,1712875625
344,padang,-0.9492,100.3543,300.18,81,83,2.03,ID,1712875425
345,onokhoy,51.932,108.0747,275.01,80,98,1.15,RU,1712875626
346,la'ie,21.6477,-157.9253,300.13,80,100,2.68,US,1712875627
347,luling,29.9322,-90.3665,297.58,49,20,6.17,US,1712875627
348,minas de marcona,-15.2119,-75.1103,291.05,76,6,6.93,PE,1712875490
349,halba,34.5428,36.0797,287.03,78,0,0.41,LB,1712875629
350,baalbek,34.0058,36.2181,284.08,79,2,0.72,LB,1712875629
351,mumford,5.2618,-0.759,301.19,80,100,2.83,GH,1712875630
352,ozurgeti,41.9231,42.0059,286.66,96,87,0.87,GE,1712875631
353,mandalgovi,45.7625,106.2708,278.67,62,35,3.4,MN,1712875631
354,benguela,-12.5763,13.4055,298.6,86,100,1.81,AO,1712875632
355,ialibu,-6.2821,143.9935,288.37,98,100,1.08,PG,1712875633
356,eastham,41.8301,-69.9739,286.45,95,100,2.57,US,1712875504
357,santiago de cao,-7.9589,-79.2392,295.22,83,75,4.12,PE,1712875634
358,alto araguaia,-17.3147,-53.2153,295.51,93,100,0.3,BR,1712875634
359,ramapuram,13.1167,79.2,297.61,89,58,1.48,IN,1712875635
360,chonchi,-42.6128,-73.8092,288.71,78,0,0.56,CL,1712875574
361,brookings,44.3114,-96.7984,284.51,54,75,10.8,US,1712875636
362,agat village,13.3886,144.6585,302.24,82,20,5.66,GU,1712875637
363,saynshand,44.8824,110.1163,283.95,31,63,2.48,MN,1712875637
